# r2_raw  r3_raw  r4_raw  r5_raw  r6_raw
-12944939968 -14730099205 78828097 44447137 848136382
-11764948695 -11877635939 1095505951 1422357100 2735232248
-9112222595 -7627708662 1489151090 2133546538 3660947949
-6456319151 -3189770071 1120381001 2455487312 3917275215
-5014520642 1313698377 320416974 2927991021 3612398732
-5129863918 5141421235 -344249592 3503684151 2681815272
-5883586957 7313233250 -275132920 4034419612 1388425030
-5862685691 7682440463 325951542 4597580675 242424723
-4719176251 6927762626 791805454 5043925486 -422501105
-2740401044 5859769609 1260332999 5106916168 -557768165
550402118 5190873189 2112452943 4828856987 -349045387
5402964820 5196098836 2658877008 4315610114 -161214982
10207618019 5458564921 2000370744 3509051284 -303310088
12652223505 5237483491 434756066 2431177733 -815696473
11978833431 3894625814 -1004843064 1346513855 -1388661414
9100770086 1724617033 -1772702706 498462566 -1530768179
5350891747 -22100779 -1891332597 -245609196 -1171030340
2061126898 -871002806 -1266115752 -1077435481 -708628184
676864809 -1315170627 -66070015 -1854901582 -339477943
1422895028 -1480866541 727394475 -2404502472 11254523
2872208631 -1211247123 670677432 -2667646386 318621586
3700364396 -530909088 166248334 -2638585160 472915157
3395254796 568315146 -433826620 -2606640233 215711540
2071145956 1155606986 -813648978 -3022845362 -778135151
389486708 -583556706 -801380042 -4045922945 -2071074447
-1122342791 -4305868683 -699146778 -5502972707 -2566189314
-2576317770 -7433347397 -744489865 -6981591997 -2053624948
-4204815673 -9105792083 -849922225 -7951207720 -1249030974
-6033459450 -10094146247 -959237060 -8116550740 -403341495
-8047923569 -10159926197 -1011879711 -7641410547 630141797
-9810105122 -8792540051 -642833666 -6886842552 1648615283
-10274587045 -6410339325 251763645 -6121581426 2388112331
-8936842653 -3553682788 1048620699 -5530440928 2879158849
-6657345178 -277568034 1161641360 -5234076717 3202789514
-4726534374 3428550956 774054320 -5218934554 3218890799
-3572796125 6889143603 448255537 -5320921499 2806974991
-2693015306 9609521150 510850437 -5255801241 2124963388
-1409296768 11756619082 799495578 -4840411912 1144764097
277532058 12556924308 857720218 -4194518088 -262349328
1660882737 11014414889 497447132 -3579136044 -1578661315
2177029319 8230049045 80330209 -3158721741 -2173021058
2373644580 5894253320 255528325 -2875102448 -2319311865
3486721545 3733191832 889533240 -2682356980 -2628018422
5332690805 553243685 814483623 -2785905507 -2947165466
5767588981 -3251899924 -474160541 -3327280156 -2621862626
3261601041 -5850988494 -1940141683 -4031984462 -1607040830
-1220729018 -6448297966 -2331432684 -4317265025 -624772129
-5019411152 -6020822530 -1285588892 -3767771028 -267383781
-5991782745 -5795634432 300497993 -2671491770 -558198898
-4564544788 -6504985734 962493889 -1794202239 -1186208548
-3060224274 -8167342019 495708563 -1538709051 -1783837884
-2575949099 -10385016532 118617398 -1496659183 -2219092418
-2193422026 -13276415850 336382786 -1100610335 -2344023959
-1224281851 -16279053988 624794957 -418077357 -1778444453
157272898 -17748601703 775983259 206273330 -664280302
1790952334 -17423349026 880956879 848489226 301867991
3479915392 -16369954590 792619013 1745436689 815143796
4791131020 -15203356677 543225935 2695224068 1024089007
5813551892 -13993221434 576616822 3170928556 1083408980
7297566377 -12644761885 942247271 2825950072 944558893
9346359154 -11634852518 1063799281 1753906220 511231842
11275612002 -11476649510 883322369 463491156 1380377
13026164736 -11525929830 965534369 -519165511 -485560025
15310297874 -11411048667 1373985810 -1188045647 -1513087381
18232039146 -12812367447 1495319075 -1798121065 -3576430010
20497344047 -17975339339 658754643 -2203078144 -6020857146
20118565384 -26484185283 -1059220761 -2142516807 -7506174327
16308897064 -35697281251 -2631691867 -1858964238 -7493079944
10112157124 -43897715058 -3444668915 -1893559616 -6227165560
2970866176 -49798590695 -3588257902 -2438437076 -4035348938
-3959057791 -52302808626 -3307092592 -3137300530 -1659112536
-10385385033 -52458781945 -3156983406 -3436249495 258689771
-16333931124 -51367707491 -2612263237 -2919025423 1970727641
-19529710848 -48160101738 -267497875 -1667642623 3598545167
-16825504010 -42705633461 2940172839 -454590741 4428052383
-9264860862 -37122228536 4285642127 -33727837 3994083254
-1567505800 -33511094970 3261422216 -380125790 2891753403
3232886225 -31834656292 1644646543 -1004856091 2110295080
5185827509 -30630194025 378508402 -1690250041 2088102833
4714440784 -28642200941 -834579241 -2651854062 2606113614
1854806480 -25520229399 -1993740873 -4005386698 3156835406
-3113852105 -21899640349 -2929299483 -5335753636 3435338282
-9240579387 -18219314246 -2988322835 -5854606053 3519266245
-13745636266 -14258659177 -1245818481 -5139899579 3308937182
-13758235180 -10789849659 1175752759 -3831223788 2595921050
-10298612784 -8781902384 2034209254 -2968894043 1729550131
-6771518420 -7511130583 1462395700 -2634103175 1045831046
-4516762137 -6526752423 904388931 -2209982797 246303316
-2953111480 -6896119286 708094679 -1459055558 -705582353
-1591632273 -8647795359 681675833 -560407835 -1237159034
-102045628 -10135774330 887174888 297679294 -1236577869
1683399134 -10868575571 918173580 567460103 -1419468405
2474875479 -13288442149 -476817144 -707162978 -1743419228
-2063065732 -17447170034 -4245246032 -3095421081 -262034761
-13565644741 -15123189587 -6666995728 -3677403650 2590129726
-25065115413 -4086192516 -4295193182 -1393872901 904893962
-30239718609 -1123794027 -1270073109 513269455 -8272466647
-31261931740 -19336338308 377876514 821312022 -18150970343
-27546469771 -49854279599 3619600387 2563835780 -20811284037
-18402268079 -76506450701 4861542728 7098006970 -14916094749
-11438090415 -87209641532 1837003203 12795226410 -4676111014
-10624102072 -80875098159 -598105450 16554333572 2561857576
-12037169902 -72565766271 -604112084 15518902054 3866274357
-13257543551 -71976798439 -861190927 10660969997 4693443119
-15195513624 -67349439359 -779160612 6071382113 8858829568
-15279928468 -51292635223 843700447 3874565826 11171914531
-12940384582 -36953207433 1044470485 3264641221 8282192350
-13159898795 -33068439244 -1506294366 2839738952 4686816069
-18064862842 -31666307650 -2855881255 2791195516 4030056103
-21010542983 -25640149770 539785811 5156567749 3592985731
-14633584211 -22357947035 5485144254 10232389226 1251320576
-651189534 -24558019017 8397766146 13663150318 223504081
18495234510 -23732166874 11045833893 11573315236 501517941
40354224859 -23221662642 9681134796 5329961205 -239515965
48181160113 -28270617890 -3612705796 -2893584948 1299332328
24603186705 -24602698593 -18712859812 -10520308537 6208590135
-12942810825 -8354876875 -15845466000 -10938660712 6446888825
-28797064275 -1299305736 215896770 -1910456319 -33162643
-17096644967 -9454995408 9611122104 7537740609 -5201149244
679888224 -18352265464 7088974583 9416447848 -6139445749
7988256234 -24964648870 559941835 7192425805 -6001079206
5269545011 -33413536072 -2596941352 6445657701 -4386532073
0 -37905817612 -2699307254 6712190730 0
0 9009331128 333261690 -3012772312 0
359698465 6453376756 -54923709 -1479375560 -2193682692
-94241934 854869570 -261627795 1854925807 -2286130136
-208645759 -2156065335 206868616 3817792131 40471027
363224213 1416394178 221106018 2295488210 2164224837
173662400 7494167825 -421836685 -908913081 1132413370
-1001880265 8634867827 -612052597 -2400432399 -2696033583
-1772706845 2897311576 -86954102 -1184832656 -6794195086
-1505377528 -7512572111 239898196 1774316684 -9490978370
-1454194277 -20343370504 -260685382 6023169112 -9946136885
-2393505569 -31441189009 -526115778 10590011661 -8064966966
-2880779044 -37447929795 108858013 13308039736 -5638708051
-1917039892 -40351885332 833568501 14054113745 -4647165865
403667012 -44370103157 1502171280 15033075702 -5058219484
4038929437 -51157856495 2138448917 17335370776 -5108664470
8363066802 -57841515697 2061647890 19715821832 -3242425931
11773012939 -59059161627 1304834556 20215822917 -340749595
13609518228 -54297646332 613941999 18515190399 200198606
14870602002 -52231792246 871604203 16524615452 -3213612585
17286569598 -60149187671 1403870915 15209847452 -6993078938
18650634432 -72099099973 -473508177 13230252371 -7062666968
14896994327 -78747136079 -3042197123 10848845811 -4625391425
9491048676 -81009765616 -1640228373 9788370368 -2758581830
10985124430 -82746544149 3374544545 9546707872 -1711068244
21439707598 -83481070209 6425557266 7500896428 -994295894
32057488685 -83665246695 3399116879 1835411194 -963202503
32827583556 -85705608203 -2474509108 -5535179785 -910439388
25360437856 -88604052947 -4062112162 -10461297583 899421435
20536233611 -87800040987 -321447208 -12001334062 4961071343
23732630645 -79524325391 2994812887 -13018757608 9578857058
28480325514 -64727208783 1008028483 -16004297662 11992882841
25468226132 -49898185122 -3868979143 -19943995342 11089789099
15063029908 -39976514591 -5915666700 -21419618271 8876894159
3906567210 -32499116904 -5147952705 -19131521598 7167000761
-5474074068 -25819163529 -4304080481 -15111023633 5395579300
-12867650741 -22570695482 -2885711611 -11147145998 3886695021
-16282574135 -20933323666 -410832532 -6930307807 4175388901
-14938889722 -15998595240 1616071641 -2371272502 5563221472
-10816448530 -8529910212 2406619252 1133368251 6029398983
-6048364368 -2199098353 2351306854 2768266713 5474705660
-2019174043 2748295143 1614447814 3130363291 4884982261
-205995447 7541753404 141204360 2946694994 4341765442
-1402162439 11849941726 -1202957656 2752991393 3513372987
-4071267629 14994376435 -1244730989 3118445584 2459972267
-5662726652 16955483634 -297334476 4092806654 1329873415
-5338243862 17631551213 587838633 5030353145 187032910
-3402182930 16972117376 1414198644 5359966766 -762033871
358195939 15614152422 2390370939 4963961505 -1410667089
5559452752 13969591299 2686173337 3866723590 -1973425073
