# v_p0  v_p1  v_p2
107.186349 0.217276 -0.015388
108.289924 0.136068 -0.095980
108.017695 0.584080 0.006589
108.812722 0.516260 0.012815
110.719753 0.386752 -0.004141
110.260318 0.999528 0.204536
109.424908 1.248176 0.222458
111.404761 0.117660 -0.356647
110.374071 0.259028 -0.408273
108.862676 0.720776 -0.375497
108.117105 0.236580 -0.539685
108.050019 -0.084312 -0.633084
104.917688 0.319840 -0.387018
102.250775 0.255108 -0.381610
97.692557 0.845280 -0.059978
96.118460 1.006628 -0.010839
93.478491 1.733964 0.315392
90.858636 2.528892 0.650739
90.023319 2.747532 0.656085
88.457053 2.836616 0.807985
87.588107 3.423472 1.066405
89.728344 2.632712 0.763763
92.706390 1.973320 0.479067
93.848214 1.757860 0.372246
94.052463 1.486424 0.321934
95.479725 0.925400 0.094928
100.327989 0.312176 -0.227430
102.793961 -0.246140 -0.465169
102.573206 0.351628 -0.332488
101.500958 -0.055336 -0.345080
99.791010 -0.351152 -0.356258
97.755507 -0.654420 -0.283738
100.597469 -1.298768 -0.566490
99.769180 -1.358528 -0.612152
98.955868 -1.659564 -0.668504
102.454219 -3.049728 -1.188280
102.442720 -3.194388 -1.205025
101.809412 -2.741776 -1.031498
103.635993 -3.399020 -1.170264
104.595209 -3.010708 -0.921885
107.016728 -3.360812 -0.982512
106.516933 -3.052592 -0.883217
106.574329 -2.230584 -0.623106
109.149052 -2.196052 -0.767159
111.483178 -1.919352 -0.770329
113.491620 -1.885352 -0.729901
117.399278 -1.628844 -0.735233
121.472552 -1.925664 -0.917423
134.001433 -4.373412 -1.847971
142.189670 -5.677688 -2.239055
146.477437 -6.865816 -2.658374
153.438984 -8.442636 -3.372868
150.388181 -8.012916 -3.276324
147.605376 -7.737264 -3.164958
147.537683 -8.133516 -3.342009
141.243541 -7.924588 -3.105833
131.982073 -7.381948 -2.738118
125.859939 -6.111452 -2.264414
125.112937 -5.569436 -2.054626
126.275218 -5.327540 -2.023646
124.983797 -4.929484 -1.871479
127.640269 -4.567476 -1.801345
126.087860 -3.617904 -1.570177
122.883871 -2.140756 -1.192700
122.243227 -1.792004 -1.201458
117.392398 -0.964100 -0.873435
109.516572 -0.907416 -0.551334
107.970378 -0.672680 -0.520947
107.659495 -0.976776 -0.630182
104.142155 -0.043968 -0.248924
105.165584 -0.855296 -0.426367
106.149794 -1.246840 -0.565451
106.681800 -1.876748 -0.724123
108.500324 -2.268532 -0.807304
105.806438 -1.528268 -0.458894
108.814128 -2.166676 -0.879655
114.720124 -3.875940 -1.770172
107.728075 -1.085148 -0.283807
