# r2  r3  r4  r5  r6
0.200055 -2.349108 -0.050210 -0.307941 -0.406155
0.363955 -2.824597 0.139128 -0.461452 0.353032
0.373571 -1.664815 -0.171031 -0.462502 1.116945
-0.213224 0.461315 -0.337291 -0.289000 1.285758
-0.784892 2.332406 -0.260805 0.101586 0.682725
-1.496541 2.811554 -0.504693 0.427872 -0.475099
-2.546806 1.040097 -0.426972 0.784630 -1.494021
-2.539852 -1.976526 0.524461 1.552481 -1.479705
-0.610164 -3.648769 1.293465 2.269174 -0.453373
1.842582 -2.760842 1.015739 2.252872 0.508631
2.909283 -0.723022 0.014190 1.791779 0.366091
2.092309 -0.325540 -0.711891 1.716523 -0.799560
0.893141 -2.551490 -0.363199 2.257536 -1.785887
1.028545 -5.102331 0.483862 2.773749 -1.960662
2.582866 -6.430059 1.027337 2.869675 -2.188651
4.737723 -8.787092 1.046634 2.777635 -3.000168
5.988782 -13.577289 0.046856 2.493338 -3.166523
4.586537 -17.515427 -1.387317 2.131585 -1.831701
1.361629 -17.892579 -1.627667 2.221487 -0.167674
-1.105515 -16.385761 -0.800992 2.725502 0.565892
-1.920078 -15.187695 -0.078376 3.115184 0.465908
-1.736142 -14.797102 0.210746 3.103821 0.039173
-1.374612 -15.438181 0.104933 2.821106 -0.248716
-1.455230 -16.303743 -0.168827 2.623098 0.075941
-1.592820 -15.620915 0.162580 2.743872 0.663614
-0.497747 -13.968814 0.906239 2.973958 0.586796
1.386902 -13.838876 0.809122 2.839545 0.078022
2.157762 -14.812398 -0.077344 2.338506 0.243796
1.423395 -14.220747 -0.513559 2.068920 0.978442
0.990767 -12.114863 0.239056 2.380956 1.205642
2.695280 -10.766077 1.401144 2.640886 0.782748
5.735144 -10.644174 1.430021 1.945864 0.476603
7.541280 -10.459203 0.325043 0.414268 0.584265
7.105522 -9.455847 -0.679739 -1.041232 0.679320
5.173135 -8.389468 -1.211774 -1.863258 0.324264
2.571734 -8.507030 -1.355490 -2.050545 -0.221025
0.114662 -9.495605 -1.050884 -1.858355 -0.354210
-1.345681 -10.205416 -0.371135 -1.651876 0.051042
-1.341424 -10.093060 0.347192 -1.597780 0.819825
-0.290733 -8.622996 0.627240 -1.511143 1.657422
0.780944 -5.834703 0.411711 -1.182341 1.984050
1.304029 -3.193715 0.132215 -0.700103 1.465391
1.401939 -2.200296 -0.020818 -0.442144 0.539727
1.285419 -2.814285 -0.087881 -0.594456 0.024049
1.123645 -3.545218 -0.068031 -0.852072 0.308600
1.012669 -2.998786 -0.053536 -0.751237 1.038931
0.888407 -1.003438 -0.060365 0.042334 1.511150
0.833213 1.338473 0.010168 1.267782 1.238425
0.873319 2.386231 0.002100 1.958794 0.412322
0.795908 1.587073 -0.065816 1.724897 -0.093068
0.822084 0.648029 0.144134 1.460121 0.338058
1.444825 1.667071 0.455518 1.837343 1.131751
2.302131 4.073243 0.332238 2.166687 1.218056
2.410041 5.828038 -0.266829 1.755913 0.346969
1.014895 5.720617 -1.146167 0.788118 -1.040645
-2.067229 3.180446 -1.906278 -0.173929 -2.154563
-5.913766 -0.579104 -1.811017 -0.156056 -2.135626
-8.254768 -3.207016 -0.301045 1.454063 -0.956089
-6.395700 -3.233010 2.157638 3.712751 0.645895
-0.792333 -0.298217 3.067898 4.459384 1.451693
3.760625 3.202489 1.284771 2.705145 0.233145
4.130926 2.242496 -0.758733 0.213045 -2.341742
0.963899 -4.291941 -2.536384 -1.518025 -3.327260
-5.871929 -9.405156 -4.143896 -2.377619 -1.203597
-12.894823 -7.629148 -2.253867 -1.586786 1.368950
-12.928540 -3.341137 2.217701 0.404898 1.803390
-5.906060 -1.348513 4.255994 1.399568 0.826439
1.404773 -1.344297 2.741084 0.621935 -0.194233
4.215036 -2.448542 0.169840 -0.547919 -0.850062
2.807775 -4.210623 -1.396927 -0.762189 -0.910342
-0.318071 -5.819365 -1.626812 -0.211078 -0.150484
-2.949689 -5.879972 -0.895551 0.285363 1.421421
-3.463033 -2.624084 0.385002 0.475231 2.885403
-1.941667 2.395744 0.967574 0.299701 2.867262
-0.405700 5.386407 0.498577 -0.223369 1.511500
0.044273 5.273269 0.025112 -0.708941 0.302641
0.000000 4.620878 -0.050215 -0.868161 0.000000
0.000000 1.578644 -0.049278 0.994555 0.000000
-0.242147 1.152821 -0.251392 0.936211 -0.639275
-0.811778 -0.220238 -0.201497 0.870185 -1.032054
-0.509498 -1.981052 0.569238 0.840591 -0.817609
1.202258 -2.785317 0.996903 0.632221 -0.067768
2.699984 -2.171012 0.416569 0.071604 0.691276
2.710510 -0.632485 -0.362748 -0.698664 1.032973
1.347553 0.993486 -1.023368 -1.371766 0.766197
-1.295776 1.532226 -1.583824 -1.638202 0.111841
-4.063032 0.717824 -0.958587 -0.999947 -0.247886
-4.210198 0.065812 0.878841 0.554045 -0.003380
-1.109239 0.471838 2.011709 1.821833 0.340388
2.490576 1.276957 1.367901 1.761211 0.364198
3.562870 1.872077 -0.331727 0.878096 0.040104
1.649509 1.805325 -1.359494 0.527135 -0.543882
-0.583156 0.742934 -0.698047 1.100201 -1.113667
-0.840398 -0.732828 0.332210 1.658664 -1.449234
0.066071 -1.954990 0.460383 1.719575 -1.879373
0.828891 -4.164910 0.367091 1.901604 -2.627934
1.624907 -8.423885 0.412745 2.506954 -2.740036
2.102594 -11.982978 -0.024497 3.011719 -1.406778
1.408541 -11.950269 -0.630313 3.170023 0.331191
-0.015274 -9.685130 -0.712369 3.312942 1.053533
-1.185827 -7.861539 -0.458986 3.482308 0.681773
-1.848353 -7.571744 -0.213011 3.440802 -0.076798
