# v_p0  v_p1  v_p2
4797251 -702721 -21114
4224286 -832918 -6736
4153652 -798721 -7720
4979982 -537168 -109714
5284282 -414217 -139737
5627200 -92966 -77002
5516399 -431196 -147836
5550164 -483733 -148748
5687575 -449752 -198536
6036433 -418499 -219259
6466722 226602 -76229
6733327 315137 -89446
6856141 137350 -162047
6550124 -249763 -214867
5539665 310393 264168
7263336 910637 115274
6614019 209416 2909
7882414 461223 -203632
7393966 208509 -118513
5941368 -535136 -37468
5993965 440342 205349
4743858 -111093 181072
4393316 935628 342537
5544422 562132 94201
7420289 -466667 -470575
4332663 232224 -66909
5263344 -1936743 111885
4948372 -250093 -122640
2773560 -16267 87776
2716229 75837 22786
2262424 51231 148753
3574900 -230558 -162819
2848943 -486499 195979
3807325 86772 -38996
3207469 -752532 102778
2769497 72847 65472
3341388 103216 -96329
3815964 333630 -147225
3611299 62212 -172740
3004164 12238 -48963
2433963 246268 45884
2083589 235761 146699
2587165 269179 118433
1399350 31170 241838
1457997 33734 126059
2007624 -84459 106876
2376839 23053 82205
2334117 -233656 -88303
3408108 42380 -176816
2784218 -364815 -115731
1478618 87503 103620
2268505 329116 117
1872842 245910 115303
2500107 224553 -12360
3183378 -11856 -43093
2917881 257209 10242
2328245 48702 11693
2193138 -40040 91325
2898669 43264 -11340
1660545 -165938 170482
1952660 -667783 208140
2503917 -398021 81880
2851218 -365833 77376
2646062 -144675 78362
3035290 -174793 40154
2157126 -321255 87874
2077837 -219666 140979
1905259 -379640 190885
2048124 -77840 88563
2393973 -294350 65400
1823884 -301023 166892
1963761 -397352 157645
3131427 -272743 -6271
3157611 -73102 -42323
2762676 -34667 66347
3430811 -317688 74557
2756727 -567515 127436
3738662 -559521 134651
3687762 -893699 45324
3467083 -840048 99760
3963239 -679692 38547
3072826 -670642 159520
3021156 -632084 165583
4109214 -662760 2956
4568192 -646177 -62085
5654028 -364313 -182807
4845872 -710570 -106037
4821899 -767863 -105950
4952180 -853696 -163443
5269279 -839976 -161758
7092394 -193887 -329380
7501525 -176021 -379843
7205384 -432597 -368621
6067936 -727739 -217470
6443529 763176 110136
8973166 832863 -234132
7024152 136541 -96436
8661892 -260505 -485959
7417279 -17481 -89559
5066546 -417204 127464
7226821 602959 -91043
5451123 -41370 -144104
6908897 981287 -304646
6812242 481130 -216424
5551041 -989879 2793
4659339 -35595 -162525
2852589 -1341135 433846
4263240 -326530 41629
2944907 105661 35180
2903956 60859 -26972
2551825 332773 107971
2890690 -433244 -16228
2392117 30090 291060
3831173 -5346 -32284
2445131 -496937 160771
3089265 120222 -27161
3295209 -95043 -76096
3916876 39995 -111575
3218695 -141799 -26474
2802103 -24518 32527
2724800 332893 44705
2532591 531825 118878
2932690 563866 147022
1676002 550995 247552
1533712 349524 173706
1921538 199261 166392
2233962 330747 214698
1710959 -264480 67227
3156075 -290434 -123585
1933380 -398057 79455
1775512 255326 51339
2801798 194888 -112749
2318149 428822 69924
2768942 159179 -44390
3060497 -52904 -5587
3445425 123495 -130081
2473791 6801 -37851
2402979 65610 9079
2998773 -22837 -49143
1650445 181757 177360
1613335 -314237 145189
2259807 -294609 39232
2596235 -247897 55522
2775380 -130457 -32697
2960446 -161304 1069
2013364 -208723 37189
2200095 -62882 30955
1845113 -76603 120763
2083495 95082 76687
2208155 -202158 39388
1747491 -1135 135696
1904705 -183186 61475
2915489 -337767 -43581
3171268 -274487 -120433
3048771 -64988 -73418
3328802 -255628 -1741
2308181 -308518 132280
3154039 -165113 226793
2528430 -628811 211011
2618095 -557681 162446
3306210 -587639 48559
2571910 -319106 162327
2584758 -273398 158947
3184186 -504112 144983
3458418 -562309 148041
4907812 -674761 -88459
3668088 -746388 80866
3617414 -809874 66760
3458788 -942961 83822
3825025 -932528 70143
6454364 -864926 -284085
6792054 -936248 -316203
6074434 -1058619 -208667
4650988 -933324 26051
8398483 441365 -451985
10298510 -53628 -622694
7481557 -262337 -312401
7607156 -1157924 -342053
7406417 -199841 -130765
5042066 -247042 -75
8505584 -3158 -497836
5535857 -560599 -304008
8005449 16907 -553641
7527052 -262370 -467730
4006899 -577377 318788
4338148 -301419 -99628
2033008 -474703 397863
4025383 -217712 27383
3156629 131735 -3715
2958945 -4112 -38627
